id,cups,procedimiento
1,82101,RESECCION DE CHALAZION VIA ANTERIOR
2,82102,RESECCION DE CHALAZION VIA POSTERIOR
3,88001,REPARACION DE HERIDA EN CEJA
4,88201,SUTURA SUPERFICIAL DE HERIDA UNICA DE PARPADO
5,88202,SUTURA SUPERFICIAL DE HERIDA MULTIPLE DE PARPADO
6,161101,EXTRACCION DE CUERPO EXTRANO EN ORBITA
7,180201,DRENAJE DE COLECCION DE CONDUCTO AUDITIVO EXTERNO
8,184101,SUTURA DE LACERACION DE PABELLON AURICULAR
9,230101,EXODONCIA DE DIENTE PERMANENTE UNIRRADICULAR
10,230102,EXODONCIA DE DIENTE PERMANENTE MULTIRRADICULAR
11,230103,EXODONCIA DE DIENTES PERMANENTES
12,230201,EXODONCIA DE DIENTE TEMPORAL UNIRRADICULAR
13,230202,EXODONCIA DE DIENTE TEMPORAL MULTIRRADICULAR
14,230203,EXODONCIA DE DIENTES TEMPORALES
15,231101,EXODONCIA QUIRURGICA UNIRRADICULAR
16,231201,EXODONCIA QUIRURGICA MULTIRRADICULAR
17,232101,OBTURACION DENTAL CON AMALGAMA +
18,232102,OBTURACION DENTAL CON RESINA DE FOTOCURADO
19,232103,OBTURACION DENTAL CON IONOMERO DE VIDRIO
20,232201,OBTURACION TEMPORAL POR DIENTE
21,232401,RECONSTRUCCION DE ANGULO INCISAL
22,232402,RECONSTRUCCION TERCIO INCISAL
23,234401,INSERCION - ADAPTACION Y CONTROL DE PROTESIS MUCOSOPORTADA TOTAL MEDIO CASO SUPERIOR O INFERIOR
24,234402,INSERCION - ADAPTACION Y CONTROL DE PROTESIS MUCOSOPORTADA TOTAL SUPERIOR E INFERIOR
25,237102,PULPOTOMIA
26,237103,PULPECTOMIA
27,237301,TERAPIA DE CONDUCTO RADICULAR EN DIENTE UNIRRADICULAR
28,237302,TERAPIA DE CONDUCTO RADICULAR EN DIENTE BIRRADICULAR
29,237304,TERAPIA DE CONDUCTO RADICULAR EN DIENTE TEMPORAL UNIRRADICULAR
30,240301,"ALISADO RADICULAR, CAMPO CERRADO"
31,243201,SUTURA DE LACERACION DE ENCIA - MENOR DE TRES CENTIMETROS
32,247401,FERULIZACION RIGIDA (SUPERIOR O INFERIOR)
33,247402,FERULIZACION SEMIRRIGIDA (SUPERIOR O INFERIOR)
34,249101,CONTROL DE HEMORRAGIA DENTAL POSQUIRURGICA
35,274901,REMOCION DE CUERPO EXTRANO EN TEJIDOS BLANDOS DE LA BOCA
36,275101,SUTURA O REPARACION DE LACERACION (HERIDA) EN LABIOS HASTA DE CINCO CENTIMETROS
37,275102,SUTURA O REPARACION DE LACERACION (HERIDA) EN LABIOS DE MAS DE CINCO CENTIMETROS
38,275104,SUTURA DE LACERACION EN LABIOS
39,275203,SUTURA DE LACERACION DE OTRA PARTE DE LA BOCA
40,389301,CATETERISMO O CANALIZACION DE VENA
41,579401,INSERCION DE DISPOSITIVO URINARIO (VESICAL)
42,579501,REEMPLAZO DE DISPOSITIVO URINARIO (VESICAL)
43,697101,INSERCION DE DISPOSITIVO INTRAUTERINO ANTICONCEPTIVO [DIU]
44,721003,PARTO INSTRUMENTADO
45,732201,PARTO INTERVENIDO CON MANIOBRAS DE VERSION
46,735301,ASISTENCIA DEL PARTO CON O SIN EPISIORRAFIA O PERINEORRAFIA
47,735980,OTRA ASISTENCIA MANUAL DEL PARTO ESPONTANEO
48,750303,EVACUACION UTERINA PARA TERMINACION DEL EMBARAZO POR OTROS METODOS
49,754101,"REMOCION MANUAL DE PLACENTA RETENIDA O REVISION UTERINA, SIN ATENCION DEL PARTO"
50,786902,"EXTRACCION DE CUERPO EXTRANO EN FALANGES (UNO O MAS) DE MANO, VIA ABIERTA"
51,797101,REDUCCION CERRADA DE LUXACION EN HOMBRO
52,829910,EXTRACCION DE CUERPO EXTRANO EN TEJIDOS BLANDOS DE DEDOS DE LA MANO
53,858101,SUTURA DE HERIDA DE MAMA
54,860207,LEISHMANIA PRUEBA [ DE MONTENEGRO ]
55,861101,DRENAJE DE COLECCION SUPERFICIAL DE PIEL O TEJIDO CELULAR SUBCUTANEO POR INCISION O ASPIRACION
56,861102,DRENAJE DE COLECCION PROFUNDA EN PIEL O TEJIDO CELULAR SUBCUTANEO POR INCISION O ASPIRACION
57,861201,EXTRACCION DE CUERPO EXTRANO EN PIEL O TEJIDO CELULAR SUBCUTANEO DE AREA GENERAL POR INCISION
58,861202,EXTRACCION DE CUERPO EXTRANO EN PIEL O TEJIDO CELULAR SUBCUTANEO DE AREA ESPECIAL POR INCISION
59,861203,EXTRACCION DE ANTICONCEPTIVOS SUBDERMICOS POR INCISION
60,861801,INSERCION DE ANTICONCEPTIVOS SUBDERMICOS
61,862701,ONICECTOMIA
62,865101,"SUTURA DE HERIDA UNICA, EN AREA GENERAL"
63,865102,"SUTURA DE HERIDA MULTIPLE, EN AREA GENERAL"
64,865201,SUTURA DE HERIDA UNICA DE CARA
65,865202,SUTURA DE HERIDA UNICA DE CARA SIN COMPROMISO DE LABIOS O PARPADOS
66,865203,"SUTURA DE HERIDA UNICA DE PLIEGUES DE FLEXION, GENITALES, MANOS Y PIES"
67,865204,SUTURA DE HERIDA MULTIPLE DE CARA
68,865205,SUTURA DE HERIDA MULTIPLE DE CARA SIN COMPROMISO DE LABIOS O PARPADOS
69,865206,"SUTURA DE HERIDA MULTIPLE DE PLIEGUES DE FLEXION, GENITALES, MANOS Y PIES"
70,865207,SUTURA DE HERIDA PARCIAL DE CUERO CABELLUDO (ESCALPE)
71,865208,"SUTURA DE AVULSION EN PABELLON AURICULAR, NARIZ, LABIOS, PARPADOS O GENITALES"
72,865210,SUTURA DE MATRIZ UNGUEAL
73,869401,RETIRO DE SUTURA EN PIEL O TEJIDO CELULAR SUBCUTANEO
74,869501,CURACION DE LESION EN PIEL O TEJIDO CELULAR SUBCUTANEO
75,870001,RADIOGRAFIA DE CRANEO SIMPLE
76,870003,RADIOGRAFIA DE BASE DE CRANEO
77,870005,RADIOGRAFIA DE MASTOIDES COMPARATIVAS
78,870101,RADIOGRAFIA DE CARA (PERFILOGRAMA)
79,870102,RADIOGRAFIA DE ORBITAS
80,870105,RADIOGRAFIA DE ARCO CIGOMATICO
81,870107,RADIOGRAFIA DE HUESOS NASALES
82,870108,RADIOGRAFIA DE SENOS PARANASALES
83,870112,RADIOGRAFIA DE MAXILAR SUPERIOR
84,870113,RADIOGRAFIA DE MAXILAR INFERIOR
85,870131,RADIOGRAFIA DE ARTICULACION TEMPOROMAXILAR [ATM]
86,870460,RADIOGRAFIAS INTRAORALES CORONALES
87,870601,RADIOGRAFIA DE TEJIDOS BLANDOS DE CUELLO
88,870602,RADIOGRAFIA DE CAVUM FARINGEO
89,871010,RADIOGRAFIA DE COLUMNA CERVICAL
90,871019,RADIOGRAFIA DE COLUMNA UNION CERVICO DORSAL
91,871020,RADIOGRAFIA DE COLUMNA TORACICA
92,871030,RADIOGRAFIA DE COLUMNA DORSOLUMBAR
93,871040,RADIOGRAFIA DE COLUMNA LUMBOSACRA
94,871050,RADIOGRAFIA DE SACRO COCCIX
95,871060,RADIOGRAFIA DE COLUMNA VERTEBRAL TOTAL
96,871062,"RADIOGRAFIA PANORAMICA DE COLUMNA (GONIOMETRIA U ORTOGRAMA) FORMATO 14"" X 17"" (NINOS)"
97,871091,RADIOGRAFIA DE ARTICULACIONES SACROILIACAS
98,871111,RADIOGRAFIA DE REJA COSTAL
99,871112,RADIOGRAFIA DE ESTERNON
100,871121,"RADIOGRAFIA DE TORAX (P.A. O A.P. Y LATERAL, DECUBITO LATERAL, OBLICUAS O LATERAL)"
101,871129,RADIOGRAFIA DE ARTICULACIONES ESTERNOCLAVICULARES
102,872002,RADIOGRAFIA DE ABDOMEN SIMPLE
103,873004,RADIOGRAFIA PARA DETECTAR EDAD OSEA [CARPOGRAMA]
104,873111,RADIOGRAFIA DE OMOPLATO
105,873112,RADIOGRAFIA DE CLAVICULA
106,873121,RADIOGRAFIA DE HUMERO
107,873122,RADIOGRAFIA DE ANTEBRAZO
108,873123,RADIOGRAFIAS COMPARATIVAS DE EXTREMIDADES SUPERIORES
109,873202,RADIOGRAFIA DE ARTICULACIONES ACROMIO CLAVICULARES COMPARATIVAS
110,873204,RADIOGRAFIA DE HOMBRO
111,873205,RADIOGRAFIA DE CODO
112,873206,RADIOGRAFIA DE PUNO O MUNECA
113,873210,RADIOGRAFIA DE MANO
114,873303,RADIOGRAFIA COMPARATIVA DE PIES CON APOYO (AP Y LATERAL)
115,873306,"RADIOGRAFIA PANORAMICA DE MIEMBROS INFERIORES (GONIOMETRIA U ORTOGRAMA), EN FORMATO 14"" X 17"" (NINOS)"
116,873312,"RADIOGRAFIA DE FEMUR (AP, LATERAL)"
117,873313,"RADIOGRAFIA DE PIERNA (AP, LATERAL)"
118,873314,RADIOGRAFIA DE ANTEVERSION TIBIAL
119,873333,"RADIOGRAFIA DE PIE (AP, LATERAL Y OBLICUA)"
120,873335,RADIOGRAFIA DE CALCANEO (AXIAL Y LATERAL)
121,873340,"RADIOGRAFIA DE MIEMBRO INFERIOR (AP, LATERAL)"
122,873411,"RADIOGRAFIA DE CADERA O ARTICULACION COXO-FEMORAL (AP, LATERAL)"
123,873412,RADIOGRAFIA DE CADERA COMPARATIVA
124,873420,"RADIOGRAFIA DE RODILLA (AP, LATERAL)"
125,873422,RADIOGRAFIA DE RODILLAS COMPARATIVAS POSICION VERTICAL (UNICAMENTE VISTA ANTEROPOSTERIOR)
126,873431,"RADIOGRAFIA DE TOBILLO (AP, LATERAL Y ROTACION INTERNA)"
127,873443,RADIOGRAFIAS COMPARATIVAS DE EXTREMIDADES INFERIORES
128,890101,ATENCION ( VISITA ) DOMICILIARIA - POR MEDICINA GENERAL
129,890103,"ATENCION (VISITA) DOMICILIARIA, POR ODONTOLOGIA GENERAL"
130,890105,ATENCION ( VISITA ) DOMICILIARIA - POR ENFERMERIA. -- INCY : PROCEDIMIENTOS REALIZADOS POR ENFERMERA PROFESIONAL O AUXILIAR DE ENFERMERIA BAJO SU ESTRICTA SUPERVISION
131,890108,ATENCION ( VISITA ) DOMICILIARIA - POR PSICOLOGIA
132,890111,"ATENCION (VISITA) DOMICILIARIA, POR FISIOTERAPIA"
133,890112,"ATENCION (VISITA) DOMICILIARIA, POR TERAPIA RESPIRATORIA"
134,890114,ATENCION ( VISITA ) DOMICILIARIA - POR PROMOTOR DE LA SALUD
135,890201,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL
136,890203,CONSULTA DE PRIMERA VEZ POR ODONTOLOGIA GENERAL
137,890205,CONSULTA DE PRIMERA VEZ POR ENFERMERIA
138,890206,CONSULTA DE PRIMERA VEZ POR NUTRICION Y DIETETICA
139,890208,CONSULTA DE PRIMERA VEZ POR PSICOLOGIA
140,890209,CONSULTA DE PRIMERA VEZ POR TRABAJO SOCIAL
141,890211,CONSULTA DE PRIMERA VEZ POR FISIOTERAPIA
142,890301,CONSULTA DE CONTROL O DE SEGUIMIENTO POR MEDICINA GENERAL
143,890303,CONSULTA DE CONTROL O DE SEGUIMIENTO POR ODONTOLOGIA GENERAL
144,890305,CONSULTA DE CONTROL O DE SEGUIMIENTO POR ENFERMERIA
145,890306,CONSULTA DE CONTROL O DE SEGUIMIENTO POR NUTRICION Y DIETETICA
146,890308,CONSULTA DE CONTROL O DE SEGUIMIENTO POR PSICOLOGIA
147,890311,CONSULTA DE CONTROL O DE SEGUIMIENTO POR FISIOTERAPIA
148,890403,INTERCONSULTA POR ODONTOLOGIA GENERAL
149,890405,INTERCONSULTA POR ENFERMERIA
150,890406,INTERCONSULTA POR NUTRICION Y DIETETICA
151,890408,INTERCONSULTA POR PSICOLOGIA
152,890409,INTERCONSULTA POR TRABAJO SOCIAL
153,890411,INTERCONSULTA POR FISIOTERAPIA
154,890412,INTERCONSULTA POR TERAPIA RESPIRATORIA
155,890601,CUIDADO (MANEJO) INTRAHOSPITALARIO POR MEDICINA GENERAL ATENCION DIARIA
156,890609,ASISTENCIA INTRAHOSPITALARIA POR TRABAJO SOCIAL
157,890701,CONSULTA DE URGENCIAS POR MEDICINA GENERAL
158,890703,CONSULTA DE URGENCIAS POR ODONTOLOGIA GENERAL
159,890704,CONSULTA DE URGENCIAS POR ODONTOLOGIA ESPECIALIZADA
160,892901,TOMA NO QUIRURGICA DE MUESTRA O TEJIDO CERVICOVAGINAL PARA ESTUDIO CITOLOGICO
161,892904,TECNICAS DE INSPECCION VISUAL CON ACIDO ACETICO Y LUGOL
162,893805,ESPIROMETRIA O CURVA DE FLUJO VOLUMEN PRE Y POST BRONCODILATADORES
163,893812,REGISTRO DE OXIMETRIA CUTANEA
164,895004,MONITOREO AMBULATORIO DE PRESION ARTERIAL SISTEMICA
165,895101,ELECTROCARDIOGRAMA DE RITMO O DE SUPERFICIE
166,896101,MONITOREO DE PRESION ARTERIAL SISTEMICA (TELEMETRIA)
167,897011,MONITORIA FETAL ANTEPARTO
168,897012,MONITORIA FETAL INTRAPARTO
169,898003,ESTUDIO ANATOMOPATOLOGICO BASICO EN CITOLOGIA POR ASPIRACION CON AGUJA FINA [ACAF] DE CUALQUIER TEJIDO U ORGANO
170,898015,ESTUDIO ANATOMOPATOLOGICO BASICO EN CITOLOGIA CERVICOVAGINAL MANUAL
171,901001,ANTIBIOGRAMA (DISCO)
172,901002,ERITROSEDIMENTACION [ VELOCIDAD SEDIMENTACION GLOBULAR - VSG ] MANUAL
173,901003,EXTENDIDO DE SANGRE PERIFERICA ESTUDIO DE MORFOLOGIA
174,901101,BACILOSCOPIA COLORACION ACIDO ALCOHOL-RESISTENTE [ZIEHL-NEELSEN]
175,901102,COLORACION ACIDO ALCOHOL RESISTENTE MODIFICADA Y LECTURA. -- INCY : ISOSPORA BELLI - CRYPTOSPORIDIUM - ENTRE OTROS
176,901104,COLORACION AZUL DE METILENO Y LECTURA PARA CUALQUIER MUESTRA
177,901106,COLORACION GIEMSA Y LECTURA
178,901107,COLORACION GRAM Y LECTURA PARA CUALQUIER MUESTRA
179,901111,BACILOSCOPIA COLORACION ACIDO ALCOHOL RESISTENTE [ZIELH-NEELSEN] LECTURA SERIADA TRES MUESTRAS
180,901206,HEMOPARASITOS EXTENDIDO DE SANGRE PERIFERICA
181,901210,CULTIVO ESPECIAL PARA OTROS MICROORGANISMOS EN CUALQUIER MUESTRA
182,901221,PRUEBA DE TORNIQUETE [ FRAGILIDAD CAPILAR ]
183,901222,RECUENTO DE PLAQUETAS AUTOMATIZADO
184,901230,MYCOBACTERIUM TUBERCULOSIS CULTIVO
185,901232,RECUENTO DE PLAQUETAS MANUAL
186,901235,UROCULTIVO (ANTIBIOGRAMA DE DISCO)
187,901236,UROCULTIVO (ANTIBIOGRAMA CONCENTRACION MINIMA INHIBITORIA AUTOMATIZADO)
188,901237,UROCULTIVO (ANTIBIOGRAMA CONCENTRACION MINIMA INHIBITORIA MANUAL)
189,901304,EXAMEN DIRECTO FRESCO DE CUALQUIER MUESTRA
190,901305,EXAMEN DIRECTO PARA HONGOS (KOH)
191,901321,STREPTOCOCCUS BETA HEMOLITICO GRUPO A (PRUEBA DIRECTA)
192,901325,EXAMEN DIRECTO DE CUALQUIER MUESTRA
193,901326,LEISHMANIA EXAMEN DIRECTO
194,902010,ACIDO URICO EN SUERO U OTROS FLUIDOS
195,902011,ACIDO URICO EN ORINA DE 24 HORAS
196,902041,ALBUMINA EN SUERO U OTROS FLUIDOS
197,902045,TIEMPO DE PROTROMBINA [TP]
198,902049,TIEMPO DE TROMBOPLASTINA PARCIAL [TTP]
199,902204,ERITROSEDIMENTACION [VELOCIDAD SEDIMENTACION GLOBULAR - VSG] MANUAL
200,902206,EXTENDIDO DE SANGRE PERIFERICA ESTUDIO DE MORFOLOGIA
201,902207,HEMOGRAMA I (HEMOGLOBINA HEMATOCRITO Y LEUCOGRAMA) MANUAL
202,902208,HEMOGRAMA II (HEMOGLOBINA HEMATOCRITO RECUENTO DE ERITROCITOS INDICES ERITROCITARIOS LEUCOGRAMA RECUENTO DE PLAQUETAS E INDICES PLAQUETARIOS) SEMIAUTOMATIZADO
203,902209,HEMOGRAMA III (HEMOGLOBINA HEMATOCRITO RECUENTO DE ERITROCITOS INDICES ERITROCITARIOS LEUCOGRAMA RECUENTO DE PLAQUETAS INDICES PLAQUETARIOS Y MORFOLOGIA ELECTRONICA) AUTOMATIZADO
204,902210,HEMOGRAMA IV [HEMOGLOBINA. HEMATOCRITO. RECUENTO DE ERITROCITOS. INDICES ERITROCITARIOS. LEUCOGRAMA. RECUENTO DE PLAQUETAS. INDICES PLAQUETARIOS Y MORFOLOGIA ELECTRONICA E HISTOGRAMA] METODO AUTOMATICO+
205,902211,HEMATOCRITO
206,902213,HEMOGLOBINA
207,902214,HEMOPARASITOS EXTENDIDO DE GOTA GRUESA
208,902215,HEMOPARASITOS. EXTENDIDO DE SANGRE PERIFERICA *+
209,902216,LEUCOGRAMA (RECUENTO TOTAL Y DIFERENCIAL)
210,902217,PRUEBA DE TORNIQUETE [ FRAGILIDAD CAPILAR ]
211,902220,RECUENTO DE PLAQUETAS AUTOMATIZADO
212,902221,RECUENTO DE PLAQUETAS MANUAL
213,902223,RECUENTO DE RETICULOCITOS METODO MANUAL
214,902224,GLUCOSA CURVA DE TOLERANCIA. -- EXCY : 90. 3. 8. 84 - 90. 3. 8. 85 - 90. 3. 8. 86 - 90. 3. 8. 87 - 90. 3. 8. 88 - 90. 3. 8. 89 - 90. 3. 8. 90 - 90. 3. 8. 91 - 90. 3. 8. 92 - 90. 3. 8. 93 Y 90. 3. 8. 94
215,903026,MICROALBUMINURIA AUTOMATIZADA EN ORINA PARCIAL
216,903027,MICROALBUMINURIA AUTOMATIZADA EN ORINA DE 24 HORAS
217,903028,LIPASA
218,903426,HEMOGLOBINA GLICOSILADA AUTOMATIZADA
