id,cups,procedimiento
431,997107,VACUNACION CONTRA HAEMOPHILUS INFLUENZA TIPO B
432,997301,ADMINISTRACION DE TOXOIDE DIFTERICO. -- EXCY : ADMINISTRACION DE ANTITOXINA DIFTERICA ( 99. 4. 3. ) - VACUNAS COMBINADA QUE LO INCLUYEN
433,1906317,COPROCULTIVO. -- INCY : IDENTIFICACION GENERO O ESPECIE
434,9062081,CULTIVO ESPECIAL PARA OTROS MICROORGANISMOS EN CUALQUIER MUESTRA
435,9062082,SUTURA DE LACERACION DE ENCIA - MENOR DE TRES CENTIMETROS
436,082101,RESECCION DE CHALAZION VIA ANTERIOR
437,082102,RESECCION DE CHALAZION VIA POSTERIOR
438,088201,SUTURA SUPERFICIAL DE HERIDA UNICA DE PARPADO
439,088202,SUTURA SUPERFICIAL DE HERIDA MULTIPLE DE PARPADO
440,129B01,INTERNACION ADULTOS COMPLEJIDAD BAJA HABITACION INDIVIDUAL (INCLUYE AISLAMIENTO)
441,129B02,INTERNACION ADULTOS COMPLEJIDAD BAJA HABITACION MULTIPLE
443,5DS002,DERECHOS DE SALA DE CURACIONES O PROCEDIMIENTOS
444,5DS003,DERECHOS DE SALA DE PEQUENA CIRUGIA (SUTURAS)
445,5DS004,DERECHOS DE SALA DE YESOS
446,5DSB01,DERECHOS DE SALA DE OBSERVACION EN URGENCIAS COMPLEJIDAD BAJA
447,601T01,TRASLADO ASISTENCIAL BASICO TERRESTRE PRIMARIO
448,601T02,TRASLADO ASISTENCIAL BASICO TERRESTRE SECUNDARIO
457,906249PR,PRUEBA DE MEZCLAS DEL TIEMPO DE TROMBOPLASTINA PARCIAL
476,90DS02,ELECTROCARDIOGRAMA DE RITMO O DE SUPERFICIE
553,P0000002,CONSEJERIA EN VIH
554,P0000003,DEMANDA INDUCIDA CANALIZADOS ALTERACIONES DE LA EMBARAZADA
555,P0000008,DEMANDA INDUCIDA CANALIZADOS CANCER DE SENO
556,P0000009,DEMANDA INDUCIDA CANALIZADOS CRECIMIENTO Y DESARROLLO
557,P0000010,DEMANDA INDUCIDA CANALIZADOS PLANIFICACION FAMILIAR
558,P0000011,DEMANDA INDUCIDA CANALIZADOS SALUD BUCAL
559,P0000012,DEMANDA INDUCIDA CANALIZADOS TOMA DE CITOLOGIA
560,P0000013,DEMANDA INDUCIDA CANALIZADOS VACUNACION PAI
561,P0000014,DEMANDA INDUCIDA CANALIZADOS VALORACION DEL JOVEN
562,P0000081,TOMA DE MUESTRA VIH 1 Y 2 - ANTICUERPOS
563,P0000221,CONSULTA PRIORITARIA - MEDICINA GENERAL
564,P0000288,TOMA DE MUESTRA - HEPATITIS B - ANTIGENO DE SUPERFICIE [AG HBS]
565,P0000775,VIH - PRUEBA RAPIDA
566,P0000776,HEPATITIS B - PRUEBA RAPIDA
567,P0000777,DENGUE - ANTICUERPOS [ IG G - IG M ] - PRUEBA RAPIDA
568,P0000778,SALA EDA ( ENFERMEDAD DIARREICA AGUDA )
569,P0000779,SALA IRA ( INFECCION RESPIRATORIA AGUDA )
570,P0001244,TOMA DE MUESTRA CULTIVO ESPECIALES PARA OTROS MICROORGANISMOS
571,P0001245,TOMA DE MUESTRA GONADOTROPINA CORIONICA - SUBUNIDAD BETA CUALITATIVA - [BHCG] PRUEBA DE EMBARAZO EN ORINA O SUERO
572,P0001246,TOMA DE MUESTRA QUIMICA SANGUINEA
573,P0001619,CONSULTA DE PRIMERA VEZ - MEDICINA GENERAL POR TELECONSULTA
574,P0001620,CONSULTA DE CONTROL O DE SEGUIMIENTO - MEDICINA GENERAL POR TELECONSULTA
575,P0001621,SUTURA DE HERIDA UNICA - EN AREA GENERAL
576,P0001852,ATENCION ( VISITA ) DOMICILIARIA - POR MEDICINA GENERAL - EXPEDICION CERTIFICADO DEFUNCION
577,P0001853,TRANSPORTE DE CUALQUIER MUESTRA ( EVENTOS INTERES EN SALUD PUBLICA )
578,T0000709,CONSULTA DE CONTROL O DE SEGUIMIENTO POR ENFERMERIA
579,T0000710,EXTRACCION DE DISPOSITIVO ANTICONCEPTIVO INTRAUTERINO ( DIU )
580,T0000711,INSERCION DE DISPOSITIVO INTRAUTERINO ANTICONCEPTIVO [ DIU ]
581,T0000712,EXTRACCION DE ANTICONCEPTIVOS SUBDERMICOS POR INCISION
582,T0001388,ATENCION ( VISITA ) DOMICILIARIA - POR MEDICINA GENERAL
583,T0001630,TRANSPORTE TERRESTRE DOMICILIARIO DE MEDICAMENTOS - SIMPLE - ZONA URBANA
584,T0001634,TRANSPORTE TERRESTRE DOMICILIARIO DE MEDICAMENTOS - SIMPLE - ZONA RURAL
585,10000,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - A MOCOA (MEDICO).
586,10003,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - A POPAYAN (MEDICO)
587,10200,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - A COLON (MEDICO).
588,12333,ENEMA O IRRIGACION TRANSANAL
589,25142,AFINAMIENTO PRESION ARTERIAL SISTEMICA
590,38700,TRASLADO ASISTENCIAL BASICO TERRESTRE PRIMARIO URBANO + MEDICO
591,39601,TRASLADO ASISTENCIAL BASICO TERRESTRE PRIMARIO URBANO + MEDICO
592,40500,TRASLADO ASISTENCIAL BASICO TERRESTRE PRIMARIO RURAL + MEDICO
593,42300,TRASLADO ASISTENCIAL BASICO TERRESTRE PRIMARIO RURAL + MEDICO
594,70000,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - A PASTO (MEDICO).
595,70003,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - A PITALITO- HUILA (MEDICO ).
596,80000,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - A NEIVA (MEDICO).
597,110001,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - PUERTO ASIS (MEDICO).
598,110006,TRASBADO BASICO A LAGO AGRIO CON AUXILIAR + MEDICO
599,110018,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - VALLE DEL GUAMUEZ (MEDICO).
600,231100,EXODONCIA QUIRURGICA UNIRRADICULAR SOD
601,231200,EXODONCIA QUIRURGICA MULTIRRADICULAR SOD
602,231301,EXODONCIA DE INCLUIDO EN POSICION ECTOPICA CON ABORDAJE INTRAORAL +
603,231302,EXODONCIA DE INCLUIDO EN POSICION ECTOPICA CON ABORDAJE EXTRAORAL +
604,231303,EXODONCIA DE DIENTE INCLUIDO
605,231400,EXODONCIAS MULTIPLES CON ALVEOLOPLASTIA. POR CUADRANTE SOD
606,232104,OBTURACION DENTAL
607,232200,OBTURACION TEMPORAL POR DIENTE SOD
608,235100,REIMPLANTE DE DIENTE SOD
609,237101,PULPOTOMIA CON PULPECTOMIA +
610,240200,DETARTRAJE SUBGINGIVAL SOD +
611,240300,"ALISADO RADICULAR, CAMPO CERRADO SOD"
612,240400,DRENAJE DE COLECCION PERIODONTAL (CERRADO CON ALISADO RADICULAR) SOD+
613,244109,RESECCION DE LESION ODONTOGENICA SOD
614,249100,CONTROL DE HEMORRAGIA DENTAL POS QUIRURGICA SOD +
615,869500,CURACION DE LESION EN PIEL O TEJIDO CELULAR SUBCUTANEO SOD +
616,870004,RADIOGRAFIA DE SILLA TURCA
617,870006,RADIOGRAFIA DE PENASCOS
618,870007,RADIOGRAFIA DE CONDUCTO AUDITIVO INTERNO
619,870103,RADIOGRAFIA DE AGUJEROS OPTICOS
620,870104,RADIOGRAFIA DE MALAR
621,870114,RADIOGRAFIA PANORAMICA DE MAXILARES. SUPERIOR E INFERIOR (ORTOPANTOMOGRAFIA)
622,870603,RADIOGRAFIA DE FARINGE [FARINGOGRAFIA] +
623,871070,RADIOGRAFIA DINAMICA DE COLUMNA VERTEBRAL
624,873311,RADIOGRAFIA DE ANTEVERSION FEMORAL
625,895005,MONITOREO AMBULATORIO DE PRESION ARTERIAL CENTRAL
626,898302,AUTOPSIA [NECROPSIA] PARCIAL (VICEROTOMIA)
627,901306,EXAMEN DIRECTO PARA HONGOS CON CALCOFLUOR§
628,901323,MYCOBACTERIUM LEPRAE PRUEBA DE VIABILIDAD
629,901324,FILARIA EXAMEN DIRECTO
630,902042,TIEMPO ACTIVADO DE COAGULACION
631,902043,TIEMPO DE COAGULACION
632,902205,ERITROSEDIMENTACION [VELOCIDAD SEDIMENTACION GLOBULAR - VSG] AUTOMATIZADA §
633,903436,"TROPONINA I, CUALITATIVA"
634,903437,"TROPONINA I, CUANTITATIVA"
635,903438,TROPONINA T. CUALITATIVA
636,903439,TROPONINA T. CUANTITATIVA +
637,903825,CREATININA EN ORINA PARCIAL
638,903836,FOSFORO EN ORINA DE 24 HORAS
639,903860,POTASIO EN ORINA DE 24 H *+
640,903865,SODIO EN ORINA DE 24 HORAS *+
641,906040,TREPONEMA PALLIDUM ANTICUERPOS IG G SEMIAUTOMATIZADO O AUTOMATIZADO
642,906041,TREPONEMA PALLIDUM ANTICUERPOS IG M SEMIAUTOMATIZADO O AUTOMATIZADO
643,906219,HEPATITIS A ANTICUERPOS TOTALES SEMIAUTOMATIZADO O AUTOMATIZADO
644,906234,INFLUENZA TIPO A ANTICUERPOS IG G
645,906611,ANTIGENO ESPECIFICO DE PROSTATA FRACCION LIBRE SEMIAUTOMATIZADO O AUTOMATIZADO
646,906916,SIFILIS SEROLOGIA PRESUNTIVA (CARDIOLIPINA O VDRL)
647,908436,DETECCION VIRUS DEL PAPILOMA HUMANO PRUEBAS DE ADN
648,908873,MYCOBACTERIUM TUBERCULOSIS IDENTIFICACION POR PRUEBAS MOLECULARES (ESPECIFICO)
649,908885,MYCOBACTERIUM TUBERCULOSIS PRUEBAS DE SENSIBILIDAD POR PRUEBAS MOLECULARES (ESPECIFICO)
650,933700,"ENTRENAMIENTO PRE, PERI Y POST PARTO SOD"
651,935000,"INMOVILIZACION, PRESION Y CUIDADO DE HERIDA SOD"
652,970100,SUSTITUCION DE TUBO (SONDA) NASOGASTRICO O DE ESOFAGOSTOMIA SOD
653,970200,SUSTITUCION DE TUBO (SONDA) DE GASTROSTOMIA SOD
654,972200,SUSTITUCION DE TAPON DENTAL SOD
655,977100,EXTRACCION DE DISPOSITIVO ANTICONCEPTIVO INTRAUTERINO (DIU) SOD
656,978801,EXTRACCION NO QUIRURGICA DE DISPOSITIVO DE INMOVILIZACION EXTERN
657,990213,"EDUCACION INDIVIDUAL EN SALUD, POR EQUIPO INTERDISCIPLINARIO"
658,990221,"EDUCACION INDIVIDUAL EN SALUD, POR EQUIPO INTERDISCIPLINARIO Y COMUNICACION EN POBLACION INFANTIL Y ADOLESCENTE"
659,990222,"EDUCACION INDIVIDUAL EN SALUD, POR EQUIPO INTERDISCIPLINARIO Y COMUNICACION EN POBLACION DE HOMBRES Y MUJERES EN EDAD FERTIL"
660,990223,"EDUCACION INDIVIDUAL EN SALUD, POR EQUIPO INTERDISCIPLINARIO Y COMUNICACION EN POBLACION DE MUJERES GESTANTES Y LACTANTES"
661,990224,"EDUCACION INDIVIDUAL EN SALUD, POR EQUIPO INTERDISCIPLINARIO Y COMUNICACION EN POBLACION DE ADULTO MAYOR"
662,991800,SALA EDA ( ENFERMEDAD DIARREICA AGUDA )
663,992901,INYECCION DE VITAMINA K
664,993123,"VACUNACION COMBINADA CONTRA HAEMOPHILUS INFLUENZA TIPO B, DIFTERIA,TETANOS Y TOS FERINA (TETRAVALENTE)"
665,993124,"VACUNACION COMBINADA CONTRA DIFTERIA, TETANOS, TOS FERINA Y HEPATITIS B (TETRAVALENTE)"
666,993125,"VACUNACION COMBINADA CONTRA DIFTERIA, TETANOS, TOS FERINA Y POLIOMELITIS (IVP)"
667,993131,VACUNACION COMBINADA CONTRA HAEMOPHILUS INFLUENZA TIPO B. DIFTERIA. TETANOS. TOS FERINA Y POLIOMELITIS IVP (PENTAVALENTE) +
668,993521,VACUNACION COMBINADA CONTRA HEPATITIS A Y HEPATITIS B
669,994100,ADMINISTRACION DE ANTITOXINA TETANICA SOD
670,997101,APLICACION DE SELLANTES DE AUTOCURADO
671,997102,APLICACION DE SELLANTES DE FOTOCURADO
672,997104,TOPICACION DE FLUOR EN SOLUCION
673,997310,CONTROL DE PLACA DENTAL
674,9310011,TERAPIA FISICA INTEGRAL. -- INCY : ACTIVIDADES PROPIAS A EJECUTAR EN LOS COMPONENTES SENSORIOMOTORES DEL DESEMPEA‘O - EJERCICIOS TERAPEUTICOS - ESTIMULACION - MECANOTERAPIA - MEDIOS FISICOS ( HIDROTERAPIA - CRIOTERAPIA - CALOR HUMEDO ) - ELECTROTERAPIA
675,91010816,PRESERVATIVOS (UND)
676,91011354,DISPRO_PRO_POSITIVO INTRAUTERINO T DE COBRE (UND)
677,10000AUX,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - A MOCOA (AUXILIAR).
678,10003AUX,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - A POPAYAN (AUXILIAR)
679,10200AUX,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - A COLON (AUXILIAR).
680,110001AUX,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - PUERTO ASIS (AUXILIAR).
681,110006AUX,TRASBADO BASICO A LAGO AGRIO CON AUXILIAR
682,110018AUX,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - VALLE DEL GUAMUEZ (AUXILIAR).
683,38700AUX,TRASLADO ASISTENCIAL BASICO TERRESTRE PRIMARIO URBANO + AUXILIAR
684,39601AUX,TRASLADO ASISTENCIAL BASICO TERRESTRE PRIMARIO URBANO + AUXILIAR
685,40500AUX,TRASLADO ASISTENCIAL BASICO TERRESTRE PRIMARIO RURAL + AUXILIAR
686,42300AUX,TRASLADO ASISTENCIAL BASICO TERRESTRE PRIMARIO RURAL + AUXILIAR
687,601T02FLOREN,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - FLORENCIA (MEDICO).
688,601T02FLORENAUX,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - FLORENCIA (AUXILIAR).
689,70000AUX,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - A PASTO (AUXILIAR).
690,70003AUX,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - A PITALITO- HUILA ( AUXILIAR).
691,80000AUX,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - A NEIVA (AUXILIAR).
692,890101UR,"ATENCION (VISITA URBANA) DOMICILIARIA, POR MEDICINA GENERAL"
693,890103UR,"ATENCION (VISITA URBANA) DOMICILIARIA, POR ODONTOLOGIA GENERAL"
694,890105UR,"ATENCION (VISITA URBANA) DOMICILIARIA, POR ENFERMERIA"
695,890108UR,"ATENCION (VISITA URBANA) DOMICILIARIA, POR PSICOLOGIA"
696,890111UR,"ATENCION (VISITA URBANA) DOMICILIARIA, POR FISIOTERAPIA"
697,890201-ADULTO,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL DE ADULTO MAYOR
698,890201-CYD,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL CYD
699,890201-HOMBRES,CONSULTA DE PRIMERA VEZ POR MEDICO A HOMBRES
700,890201-JOVEN,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL DE JOVEN
701,890201-MUJERES,CONSULTA DE PRIMERA VEZ POR MEDICO A MUJERES
702,890201-PYP,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL
703,890203-PYP,CONSULTA DE PRIMERA VEZ POR ODONTOLOGIA GENERAL(5315)
704,890301-CPN,CONSULTA DE CONTROL O DE SEGUIMIENTO POR MEDICINA GENERAL DE CPN
705,890301-MUJERES,CONSULTA DE CONTROL POR MEDICO A MUJERES
706,890303REMISION,
707,890305-CPN,CONSULTA DE CONTROL O DE SEGUIMIENTO POR ENFERMERIA DE CPN
708,890305-MUJERES,CONSULTA DE CONTROL O DE SEGUIMIENTO POR ENFERMERIA A MUJERES
709,890305-PYP,CONSULTA DE CONTROL POR MEDICO O ENFEMERA
710,890601AH,CUIDADO (MANEJO) INTRAHOSPITALARIO POR MEDICINA GENERAL
711,890601H,DERECHOS DE SALA DE PEQUEAA CIRUGIA ( SUTURAS )
712,896102,MONITOREO DE PRESION ARTERIAL SISTEMICA (TELEMETRIA)
713,901107-PYP,COLORACION GRAM Y LECTURA PARA CUALQUIER MUESTRA *+(5691)
714,901235-PYP,UROCULTIVO [ANTIBIOGRAMA DE DISCO]+(5734)
715,902207-PYP,HEMOGRAMA I (HEMOGLOBINA HEMATOCRITO Y LEUCOGRAMA) MANUAL(34821)
716,902214-PYP,HEMOPARASITOS. EXTENDIDO DE GOTA GRUESA *+(5858)
717,903815-PYP,COLESTEROL DE ALTA DENSIDAD [HDL](6037)
718,903816-PYP,COLESTEROL DE BAJA DENSIDAD SEMIAUTOMATIZADO(6038)
719,903818-PYP,COLESTEROL TOTAL(6040)
720,903841-PYP,GLUCOSA EN SUERO. LCR U OTRO FLUIDO DIFERENTE A ORINA(6064)
721,903868-PYP,TRIGLICERIDOS +(6091)
722,903876-PYP,CREATININA EN ORINA PARCIAL(29843)
723,906249-PYP,VIRUS DE INMUNODEFICIENCIA HUMANA 1 Y 2 ANTICUERPOS(35057)
724,906915-PYP,PRUEBA NO TREPONEMICA MANUAL(35179)
725,907106-PYP,UROANALISIS(35182)
726,911015-PYP,HEMOCLASIFICACION SISTEMA RH [ANTIGENO RH D] POR MICROTECNICA(31683)
727,950601-AV,MEDICION DE AGUDEZA VISUAL(31712)-AGUDEZA
728,950601-SP,MEDICION DE AGUDEZA VISUAL(31712)-SALUD PUBLICA
729,993509-SP,VACUNACION CONTRA VARICELA(11201)-SALUD PUBLICA
730,993509-V,VACUNACION CONTRA VARICELA(11201)-CONTRA VARICELA
731,E906845,RUBEOLA ANTICUERPOS IG G AUTOMATIZADO
